,Show Date,Show Location,Corp Name,General Effect - TOT,General Effect - TOT_rank,Visual - TOT,Visual - TOT_rank,Music - TOT,Music - TOT_rank,Sub Total,Sub Total_rank,Total,Total_rank
0,"August 4, 2025","Canton, OH",Bluecoats,38.85,1,29.15,1,29.075,1,97.075,1,97.075,1
37,"August 1, 2025","Allentown, PA",Bluecoats,38.55,1,28.95,1,28.975,1,96.475,1,96.475,1
52,"July 30, 2025","Glassboro, NJ",Bluecoats,38.6,1,28.65,1,28.6,1,95.850,1,95.850,1
85,"July 27, 2025","Winston-Salem, NC",Bluecoats,38.1,1,28.25,1,28.2,1,94.550,1,94.550,1
105,"July 26, 2025","Atlanta, GA",Bluecoats,38.25,1,28.4,1,28.375,1,95.025,1,95.025,1
116,"July 25, 2025","Nashville, TN",Bluecoats,37.9,1,28.5,1,28.0,1,94.400,1,94.400,1
151,"July 20, 2025","Bedford, TX",Bluecoats,37.0,1,28.0,1,27.95,1,92.950,1,92.950,1
163,"July 19, 2025","San Antonio, TX",Bluecoats,37.35,1,27.8,1,27.675,3,92.825,2,92.825,2
182,"July 18, 2025","Houston, TX",Bluecoats,36.9,1,26.9,1,27.45,1,91.250,1,91.250,1
190,"July 17, 2025","Denton, TX",Bluecoats,36.4,1,26.85,1,27.05,2,90.300,1,90.300,1
217,"July 15, 2025","Broken Arrow, OK",Bluecoats,35.6,1,26.5,1,26.45,1,88.550,1,88.550,1
237,"July 12, 2025","Lisle, IL",Bluecoats,34.4,1,26.5,1,25.6,1,86.500,1,86.500,1
286,"July 6, 2025","La Crosse, WI",Bluecoats,34.1,1,24.75,1,24.45,1,83.300,1,83.300,1
336,"August 10, 2024","Indianapolis, IN",Bluecoats,39.65,1,29.65,1,29.45,1,98.750,1,98.750,1
348,"August 9, 2024","Indianapolis, IN",Bluecoats,39.425,1,29.225,1,29.275,1,97.925,1,97.925,1
373,"August 8, 2024","Indianapolis, IN",Bluecoats,38.9,1,29.375,1,29.25,1,97.525,1,97.525,1
410,"August 5, 2024","Canton, OH",Bluecoats,38.5,1,28.7,1,28.8,1,96.000,1,96.000,1
429,"August 2, 2024","Allentown, PA",Bluecoats,38.5,1,28.75,1,28.65,1,95.900,1,95.900,1
450,"July 30, 2024","Newark, DE",Bluecoats,38.4,1,28.45,1,28.375,1,95.225,1,95.225,1
468,"July 28, 2024","Winston-Salem, NC",Bluecoats,37.85,1,28.4,1,28.45,1,94.700,1,94.700,1
480,"July 27, 2024","Atlanta, GA",Bluecoats,38.0,1,28.2,1,28.225,1,94.425,1,94.425,1
500,"July 26, 2024","Murfreesboro, TN",Bluecoats,38.0,1,28.2,1,28.25,1,94.450,1,94.450,1
533,"July 20, 2024","San Antonio, TX",Bluecoats,37.25,1,27.6,1,28.175,1,93.025,1,93.025,1
554,"July 19, 2024","Houston, TX",Bluecoats,37.1,1,27.4,1,27.6,1,92.100,1,92.100,1
561,"July 18, 2024","Denton, TX",Bluecoats,36.6,1,26.65,1,27.25,1,90.500,1,90.500,1
583,"July 16, 2024","Broken Arrow, OK",Bluecoats,35.9,1,26.65,2,26.6,1,89.150,1,89.150,1
600,"July 14, 2024","Ankeny, IA",Bluecoats,35.3,1,26.55,1,26.5,1,88.350,1,88.350,1
618,"July 13, 2024","DeKalb, IL",Bluecoats,34.5,1,26.15,1,26.4,1,87.050,1,87.050,1
666,"July 7, 2024","La Crosse, WI",Bluecoats,33.9,1,24.7,1,24.8,1,83.400,1,83.400,1
679,"July 6, 2024","Whitewater, WI",Bluecoats,33.0,1,24.5,1,24.4,1,81.900,1,81.900,1
700,"July 2, 2024","Mason, OH",Bluecoats,32.2,1,23.3,2,23.25,2,78.750,1,78.750,1
738,"August 12, 2023","Indianapolis, IN",Bluecoats,39.075,3,29.45,2,29.213,3,97.738,2,97.738,2
750,"August 11, 2023","Indianapolis, IN",Bluecoats,38.875,2,29.0,2,29.113,4,96.988,2,96.988,2
776,"August 10, 2023","Indianapolis, IN",Bluecoats,38.9,3,29.0,3,28.788,4,96.688,3,96.688,3
830,"August 4, 2023","Allentown, PA",Bluecoats,38.25,2,28.55,2,28.45,2,95.250,2,95.250,2
840,"August 3, 2023","Lawrence, MA",Bluecoats,38.1,1,28.25,2,28.35,2,94.700,2,94.700,2
843,"August 2, 2023","Glassboro, NJ",Bluecoats,38.3,1,28.65,1,28.3,1,95.250,1,95.250,1
878,"July 30, 2023","Winston-Salem, NC",Bluecoats,37.15,2,28.05,2,27.75,3,92.950,2,92.950,2
891,"July 29, 2023","Atlanta, GA",Bluecoats,36.75,4,27.95,2,27.675,3,92.375,3,91.975,3
951,"July 22, 2023","San Antonio, TX",Bluecoats,36.525,4,27.5,2,26.925,4,90.950,3,90.950,3
972,"July 21, 2023","Houston, TX",Bluecoats,35.8,3,26.9,2,26.65,3,89.350,3,89.350,3
989,"July 20, 2023","Denton, TX",Bluecoats,35.9,2,26.8,2,26.75,3,89.450,3,89.450,3
1003,"July 18, 2023","Broken Arrow, OK",Bluecoats,35.3,3,26.6,2,26.75,3,88.650,3,88.650,3
1013,"July 15, 2023","Little Rock, AR",Bluecoats,34.6,1,25.9,2,26.2,1,86.700,1,86.700,1
1061,"July 11, 2023","Douglasville, GA",Bluecoats,34.1,1,25.35,1,25.45,1,84.900,1,84.900,1
1088,"July 9, 2023","Macon, GA",Bluecoats,33.3,1,24.9,2,24.5,2,82.700,2,82.700,2
1093,"July 8, 2023","Lexington, SC",Bluecoats,32.5,2,24.4,2,24.35,1,81.250,2,81.250,2
1125,"July 5, 2023","Mason, OH",Bluecoats,32.1,1,23.85,3,23.9,3,79.850,2,79.850,2
1170,"August 13, 2022","Indianapolis, IN",Bluecoats,39.05,2,29.05,3,29.225,3,97.325,2,97.325,2
1182,"August 12, 2022","Indianapolis, IN",Bluecoats,38.825,3,29.05,3,29.1,2,96.975,2,96.975,2
1207,"August 11, 2022","Indianapolis, IN",Bluecoats,38.025,3,28.75,3,28.925,4,95.700,3,95.700,3
1264,"August 5, 2022","Allentown, PA",Bluecoats,37.8,2,28.425,3,28.15,3,94.375,3,94.375,3
1272,"August 3, 2022","Glassboro, NJ",Bluecoats,37.6,2,28.3,2,27.9,2,93.800,2,93.800,2
1285,"August 2, 2022","Annapolis, MD",Bluecoats,37.5,2,28.1,2,27.95,2,93.550,2,93.550,2
1306,"July 31, 2022","Winston-Salem, NC",Bluecoats,37.3,1,27.625,2,27.8,2,92.725,2,92.725,2
1319,"July 30, 2022","Atlanta, GA",Bluecoats,37.0,4,27.625,4,27.6,4,92.225,4,92.225,4
1331,"July 29, 2022","Murfreesboro, TN",Bluecoats,36.45,3,27.5,4,27.775,2,91.725,3,91.725,3
1371,"July 23, 2022","San Antonio, TX",Bluecoats,35.7,4,27.125,3,27.075,5,89.900,4,89.900,4
1390,"July 22, 2022","Houston, TX",Bluecoats,36.5,3,26.6,2,26.55,3,89.650,3,89.650,3
1397,"July 21, 2022","Denton, TX",Bluecoats,35.1,2,26.3,2,26.35,4,87.750,3,87.750,3
1414,"July 19, 2022","Broken Arrow, OK",Bluecoats,35.3,2,26.05,3,25.825,5,87.175,3,87.175,3
1443,"July 16, 2022","Whitewater, WI",Bluecoats,33.9,1,25.6,1,25.5,1,85.000,1,85.000,1
1484,"July 9, 2022","DeKalb, IL",Bluecoats,32.7,1,23.85,1,23.9,1,80.450,1,80.450,1
1507,"July 7, 2022","Evansville, IN",Bluecoats,31.4,1,23.6,1,23.6,1,78.600,1,78.600,1
1518,"July 6, 2022","Mason, OH",Bluecoats,30.2,1,23.45,1,22.65,1,76.300,1,76.300,1
1548,"July 2, 2022","Kent, OH",Bluecoats,29.4,2,22.5,1,22.05,2,73.950,2,73.950,2
1556,"June 28, 2022","Detroit, MI",Bluecoats,28.6,1,21.95,1,21.15,1,71.700,1,71.700,1
1577,"August 10, 2019","Indianapolis, IN",Bluecoats,39.45,1,29.45,2,29.338,1,98.238,2,98.238,2
1589,"August 9, 2019","Indianapolis, IN",Bluecoats,39.25,1,29.175,2,29.125,2,97.550,2,97.550,2
1613,"August 8, 2019","Indianapolis, IN",Bluecoats,39.275,1,29.125,2,29.25,2,97.650,1,97.650,1
1656,"August 5, 2019","Akron, OH",Bluecoats,38.7,1,28.75,1,28.7,3,96.150,1,96.150,1
1672,"August 4, 2019","Buffalo, NY",Bluecoats,38.7,1,28.7,1,28.475,2,95.875,1,95.875,1
1693,"August 2, 2019","Allentown, PA",Bluecoats,38.25,1,28.4,2,28.525,1,95.175,1,95.175,1
1732,"July 29, 2019","Centerville, OH",Bluecoats,38.1,1,28.1,2,28.15,2,94.350,2,94.350,2
1737,"July 28, 2019","Winston-Salem, NC",Bluecoats,38.0,1,28.125,2,27.95,2,94.075,2,94.075,2
1747,"July 27, 2019","Atlanta, GA",Bluecoats,37.6,1,28.125,2,28.038,2,93.762,1,93.762,1
1777,"July 26, 2019","Murfreesboro, TN",Bluecoats,37.95,1,27.85,2,27.625,2,93.425,2,93.425,2
1790,"July 24, 2019","Little Rock, AR",Bluecoats,36.9,1,27.6,1,27.55,2,92.050,1,92.050,1
1808,"July 22, 2019","Mesquite, TX",Bluecoats,36.8,1,27.45,2,27.3,1,91.550,1,91.550,1
1828,"July 20, 2019","San Antonio, TX",Bluecoats,36.65,2,27.45,2,27.113,2,91.213,1,91.213,1
1850,"July 19, 2019","Katy, TX",Bluecoats,36.6,1,27.45,1,26.675,3,90.725,1,90.725,1
1876,"July 16, 2019","Broken Arrow, OK",Bluecoats,35.9,1,26.75,1,26.725,1,89.375,1,89.375,1
1885,"July 15, 2019","Olathe, KS",Bluecoats,35.6,1,26.6,1,26.2,1,88.400,1,88.400,1
1900,"July 14, 2019","Belleville, IL",Bluecoats,35.3,1,26.4,1,26.4,1,88.100,1,88.100,1
1914,"July 13, 2019","DeKalb, IL",Bluecoats,35.2,1,26.25,1,26.05,1,87.500,1,87.500,1
1932,"July 10, 2019","Ankeny, IA",Bluecoats,34.9,1,25.75,2,25.65,1,86.300,1,86.300,1
1954,"July 9, 2019","Mankato, MN",Bluecoats,34.8,1,25.4,1,25.5,1,85.700,1,85.700,1
1970,"July 7, 2019","Menomonie, WI",Bluecoats,34.1,1,25.35,1,25.45,1,84.900,1,84.900,1
1983,"July 6, 2019","Whitewater, WI",Bluecoats,33.7,1,24.95,1,25.15,1,83.800,1,83.800,1
1991,"July 5, 2019","Lisle, IL",Bluecoats,33.0,1,24.8,1,24.8,1,82.600,1,82.600,1
2016,"July 2, 2019","East Rutherford, NJ",Bluecoats,32.7,1,24.6,1,24.5,1,81.800,1,81.800,1
2025,"July 1, 2019","Lynn, MA",Bluecoats,32.9,1,24.4,1,24.45,1,81.750,1,81.750,1
2052,"June 29, 2019","Lawrence, MA",Bluecoats,32.1,1,23.9,1,23.9,1,79.900,1,79.900,1
2077,"June 28, 2019","Allentown, PA",Bluecoats,31.5,1,23.85,1,23.3,1,78.650,1,78.650,1
2081,"June 26, 2019","Pittsburgh, PA",Bluecoats,31.3,1,23.0,1,22.9,1,77.200,1,77.200,1
2086,"June 25, 2019","Hamilton, OH",Bluecoats,29.8,1,23.0,1,22.6,1,75.400,1,75.400,1
2121,"June 22, 2019","North Canton, OH",Bluecoats,28.7,1,21.45,1,21.7,1,71.850,1,71.850,1
2131,"June 20, 2019","Detroit, MI",Bluecoats,29.2,1,20.55,2,21.4,2,71.150,1,71.150,1
2143,"August 10, 2018","Indianapolis, IN",Bluecoats,39.075,2,29.025,3,28.488,4,96.588,3,96.588,3
2168,"August 9, 2018","Indianapolis, IN",Bluecoats,38.55,2,28.425,3,28.238,4,95.213,3,95.213,3
2215,"August 6, 2018","Massillon, OH",Bluecoats,38.25,2,28.525,2,28.05,3,94.825,2,94.825,2
2230,"August 5, 2018","Buffalo, NY",Bluecoats,38.45,1,28.25,2,27.5,3,94.200,2,94.200,2
2266,"August 1, 2018","Chester, PA",Bluecoats,37.45,2,28.0,2,27.7,3,93.150,2,93.150,2
2286,"July 30, 2018","Centerville, OH",Bluecoats,37.3,1,27.675,1,27.75,1,92.725,1,92.725,1
2295,"July 29, 2018","Winston-Salem, NC",Bluecoats,36.9,3,27.325,3,27.4,4,91.625,3,91.625,3
2303,"July 28, 2018","Atlanta, GA",Bluecoats,37.225,2,27.9,3,27.65,4,92.775,3,92.775,3
2337,"July 27, 2018","Murfreesboro, TN",Bluecoats,37.25,2,27.625,3,27.425,4,92.300,3,92.300,3
2352,"July 25, 2018","Little Rock, AR",Bluecoats,36.9,1,27.6,1,27.225,1,91.725,1,91.725,1
2378,"July 23, 2018","Mesquite, TX",Bluecoats,37.0,2,27.325,3,27.025,4,91.350,3,91.350,3
2394,"July 21, 2018","San Antonio, TX",Bluecoats,36.675,2,27.225,3,26.775,4,90.675,3,90.675,3
2417,"July 20, 2018","Katy, TX",Bluecoats,36.1,2,27.025,3,26.6,4,89.725,2,89.725,2
2427,"July 17, 2018","Broken Arrow, OK",Bluecoats,36.1,2,26.45,3,26.5,3,89.050,3,89.050,3
2432,"July 16, 2018","Olathe, KS",Bluecoats,35.1,1,26.45,1,25.95,1,87.500,1,87.500,1
2455,"July 15, 2018","St. Louis, MO",Bluecoats,34.7,1,26.4,2,26.025,3,87.125,2,87.125,2
2471,"July 14, 2018","Alexandria, KY",Bluecoats,34.2,1,25.65,1,25.75,2,85.600,1,85.600,1
2490,"July 12, 2018","Knoxville, TN",Bluecoats,34.0,1,25.7,1,25.6,1,85.300,1,85.300,1
2512,"July 11, 2018","Hoschton, GA",Bluecoats,33.4,1,25.2,2,25.4,1,84.000,1,84.000,1
2522,"July 8, 2018","Orlando, FL",Bluecoats,33.4,1,25.1,1,25.35,1,83.850,1,83.850,1
2537,"July 7, 2018","Lexington, SC",Bluecoats,33.3,1,25.05,1,24.35,2,82.700,1,82.700,1
2572,"July 5, 2018","Clifton, NJ",Bluecoats,32.8,1,24.55,1,24.3,2,81.650,1,81.650,1
2588,"July 2, 2018","Lynn, MA",Bluecoats,32.1,1,24.1,1,24.2,2,80.400,1,80.400,1
2596,"July 1, 2018","Lawrence, MA",Bluecoats,31.8,1,23.5,1,23.75,2,79.050,1,79.050,1
2642,"June 25, 2018","Mason, OH",Bluecoats,29.9,1,22.25,1,22.05,2,74.200,1,74.200,1
2668,"June 23, 2018","Akron, OH",Bluecoats,29.3,1,21.15,1,21.15,2,71.600,1,71.600,1
2686,"June 21, 2018","Detroit, MI",Bluecoats,28.7,1,20.3,1,21.3,2,70.300,1,70.300,1
2696,"August 12, 2017","Indianapolis, IN",Bluecoats,38.25,4,28.45,5,28.463,4,95.163,5,95.163,5
2707,"August 11, 2017","Indianapolis, IN",Bluecoats,38.35,4,28.25,5,28.613,4,95.212,4,95.212,4
2732,"August 10, 2017","Indianapolis, IN",Bluecoats,37.95,4,28.325,6,28.363,4,94.638,4,94.638,4
2771,"August 7, 2017","Massillon, OH",Bluecoats,37.5,3,28.025,4,28.5,3,94.025,3,94.025,3
2796,"August 6, 2017","Buffalo, NY",Bluecoats,37.9,3,27.975,4,27.85,4,93.725,4,93.725,4
2815,"August 4, 2017","Allentown, PA",Bluecoats,37.5,2,27.8,2,28.1,2,93.400,2,93.400,2
2829,"August 3, 2017","Chester, PA",Bluecoats,37.5,1,27.7,2,27.625,3,92.825,2,92.825,2
2862,"July 31, 2017","Dublin, OH",Bluecoats,37.4,1,27.5,1,27.6,1,92.500,1,92.500,1
2878,"July 30, 2017","Winston-Salem, NC",Bluecoats,36.5,0,27.25,0,27.45,0,91.200,4,91.200,4
2892,"July 29, 2017","Powder Springs, GA",Bluecoats,36.7,0,27.3,0,27.175,0,91.175,4,91.175,4
2918,"July 28, 2017","Nashville, TN",Bluecoats,36.4,0,27.15,0,26.925,0,90.475,4,90.475,4
2933,"July 26, 2017","Little Rock, AR",Bluecoats,36.2,0,26.95,0,27.05,0,90.200,2,90.200,2
2958,"July 24, 2017","Dallas, TX",Bluecoats,35.9,0,26.55,0,26.8,0,89.250,3,89.250,3
2975,"July 22, 2017","San Antonio, TX",Bluecoats,35.55,0,26.125,0,26.35,0,88.025,4,88.025,4
2998,"July 21, 2017","Houston, TX",Bluecoats,34.6,0,25.65,0,26.2,0,86.450,4,86.450,4
3016,"July 20, 2017","Denton, TX",Bluecoats,34.2,0,25.8,0,26.35,0,86.350,2,86.350,2
3028,"July 18, 2017","Broken Arrow, OK",Bluecoats,34.1,0,25.2,0,25.85,0,85.150,4,85.150,4
3041,"July 17, 2017","El Dorado, KS",Bluecoats,34.0,0,25.35,0,25.95,0,85.300,2,85.300,2
3060,"July 15, 2017","Denver, CO",Bluecoats,33.5,0,25.15,0,25.2,0,83.850,2,83.850,2
3098,"July 11, 2017","Johnston, IA",Bluecoats,33.1,0,24.6,0,24.45,0,82.150,1,82.150,1
3116,"July 9, 2017","Rochester, MN",Bluecoats,32.9,0,24.2,0,24.7,0,81.800,1,81.800,1
3124,"July 8, 2017","Minneapolis, MN",Bluecoats,32.4,0,23.75,0,23.95,0,80.100,2,80.100,2
3154,"July 7, 2017","Rockford, IL",Bluecoats,32.2,0,22.95,0,24.15,0,79.300,1,79.300,1
3187,"June 24, 2017","Massillon, OH",Bluecoats,29.3,0,21.8,0,21.6,0,72.700,1,72.700,1
3210,"June 22, 2017","Indianapolis, IN",Bluecoats,30.7,0,20.9,0,20.7,0,72.300,1,72.300,1
